fiscal_year,NHS,district,activity,Route Type,Route,Beg MM,End MM,cost,date,segment_id
2016,False,3,HOT INSITU SCARIFICATION,FL,FL 4016,0.17,2.19,410128.1,2016-08-15,FL 4016_0.17_2.19
2017,False,1,HOT INSITU SCARIFICATION,State,NM 51,0.0,5.0,75226.55,2016-09-07,NM 51_0.0_5.0
2017,False,1,HOT INSITU SCARIFICATION,State,NM 195,3.5,4.4,37902.21,2016-09-07,NM 195_3.5_4.4
2017,False,1,HOT INSITU SCARIFICATION,State,NM 179,0.0,2.1,445658.89,2016-09-07,NM 179_0.0_2.1
2017,True,1,BRIDGE OTHER,Interstate,I 10,22.68,22.68,14489.34,2016-09-07,I 10_22.68_22.68
2017,True,2,HOT INSITU RECYCLING,US,US 380,62.2,73.5,60573.53,2016-09-08,US 380_62.2_73.5
2017,True,2,HOT INSITU RECYCLING,US,US 380,62.2,73.5,698184.48,2016-09-08,US 380_62.2_73.5
2017,False,5,GUARDRAIL,State,NM 344,1.0,1.9,2707.1,2016-09-08,NM 344_1.0_1.9
2017,False,5,GUARDRAIL,State,NM 503,2.6,2.6,2833.63,2016-09-08,NM 503_2.6_2.6
2017,True,5,GUARDRAIL,Interstate,I 40,199.0,199.0,2983.66,2016-09-08,I 40_199.0_199.0
2017,True,5,COLD MILLING BTMNS SRFCS,Interstate,I 40,203.0,203.0,32952.38,2016-09-08,I 40_203.0_203.0
2017,True,5,CRACK SEAL,Interstate,I 25,265.0,266.4,55932.11,2016-09-08,I 25_265.0_266.4
2017,True,5,BRIDGE DECK,US,US 64,135.6,142.3,105251.53,2016-09-08,US 64_135.6_142.3
2017,True,5,BRIDGE OTHER,Interstate,I 25,290.49,290.49,9571.52,2016-09-08,I 25_290.49_290.49
2017,False,5,PLANT MIX WEARING COURSE OVERLAY,State,NM 300,1.1,6.3,965002.79,2016-09-08,NM 300_1.1_6.3
2017,True,4,CRACK SEAL,Interstate,I 25,437.0,442.0,442048.99,2016-09-08,I 25_437.0_442.0
2017,False,3,HOT INSITU SCARIFICATION,State,NM 22,4.5,4.3,28194.51,2016-09-08,NM 22_4.5_4.3
2017,False,3,HOT INSITU SCARIFICATION,State,NM 22,9.3,6.9,209841.09,2016-09-08,NM 22_9.3_6.9
2017,False,3,HOT INSITU SCARIFICATION,State,NM 22,6.9,4.5,318567.03,2016-09-08,NM 22_6.9_4.5
2016,True,3,CRACK SEAL,Interstate,I 25,183.0,187.0,2455.46,2016-09-09,I 25_183.0_187.0
2017,False,6,COLD MIX ASPHLT RCYCLNG,State,NM 103,0.0,3.9,12784.97,2016-09-09,NM 103_0.0_3.9
2017,True,6,HOT INSITU SCARIFICATION,US,US 60,18.0,24.0,281949.94,2016-09-09,US 60_18.0_24.0
2017,False,1,CHIP SEAL,State,NM 90,33.8,40.8,573757.32,2016-10-06,NM 90_33.8_40.8
2017,True,2,CHIP SEAL,US,US 54,145.8,154.7,775.88,2016-10-06,US 54_145.8_154.7
2017,True,2,CHIP SEAL,US,US 54,145.8,154.7,301647.42,2016-10-06,US 54_145.8_154.7
2017,True,2,FOG SEALING,US,US 54,145.8,163.0,3735.95,2016-10-06,US 54_145.8_163.0
2017,True,2,FOG SEALING,US,US 380,79.0,107.0,6095.49,2016-10-06,US 380_79.0_107.0
2017,False,5,GUARDRAIL,State,NM 475,7.9,7.9,39903.51,2016-10-06,NM 475_7.9_7.9
2017,True,5,COLD MIX ASPHLT RCYCLNG,US,US 64,102.0,107.0,418402.29,2016-10-06,US 64_102.0_107.0
2017,True,5,COLD MILLING BTMNS SRFCS,Interstate,I 40,203.0,203.0,175209.97,2016-10-06,I 40_203.0_203.0
2017,True,5,CRACK SEAL,State,NM 14,44.9,38.0,214219.35,2016-10-06,NM 14_44.9_38.0
2017,True,5,CRACK SEAL,US,US 84,190.5,196.0,209475.69,2016-10-06,US 84_190.5_196.0
2017,False,3,GUARDRAIL,FR,FR 4056,0.0,0.05,24071.04,2016-10-06,FR 4056_0.0_0.05
2017,False,3,GUARDRAIL,State,NM 536,8.8,10.2,52726.29,2016-10-06,NM 536_8.8_10.2
2017,False,1,HOT INSITU SCARIFICATION,State,NM 90,33.8,40.8,846722.97,2016-11-09,NM 90_33.8_40.8
2017,False,1,HOT INSITU SCARIFICATION,State,NM 181,0.0,11.8,297654.68,2016-11-09,NM 181_0.0_11.8
2017,False,4,MICRO SURFACING,State,NM 434,26.0,36.5,970399.13,2016-11-10,NM 434_26.0_36.5
2017,True,4,MICRO SURFACING,US,US 64,272.5,276.0,423536.8,2016-11-10,US 64_272.5_276.0
2017,True,4,HOT INSITU SCARIFICATION,Other,LP 15,2.9,4.5,716134.77,2016-11-10,LP 15_2.9_4.5
2017,True,2,FOG SEALING,US,US 380,81.0,107.0,65667.31,2016-11-10,US 380_81.0_107.0
2017,False,5,GUARDRAIL,State,NM 68,20.8,20.8,9235.15,2016-11-14,NM 68_20.8_20.8
2017,True,5,GUARDRAIL,US,US 84,283.0,288.0,32294.0,2016-11-14,US 84_283.0_288.0
2017,True,5,GUARDRAIL,US,US 550,155.0,111.3,27615.67,2016-11-14,US 550_155.0_111.3
2017,True,5,COLD MILLING BTMNS SRFCS,Interstate,I 40,203.0,203.0,15542.22,2016-11-14,I 40_203.0_203.0
2017,True,5,HOT INSITU RECYCLING,US,US 84,236.5,246.5,891511.93,2016-11-14,US 84_236.5_246.5
2017,False,5,BRIDGE OTHER,State,NM 68,20.56,20.56,143034.54,2016-11-14,NM 68_20.56_20.56
2017,True,3,GUARDRAIL,State,NM 45,20.3,23.2,39053.54,2016-11-14,NM 45_20.3_23.2
2017,True,3,CRACK SEAL,State,NM 556,6.917,15.383,450731.28,2016-11-14,NM 556_6.917_15.383
2017,True,3,HOT MIX OVERLAY/ INLAY,State,NM 528,1.8,4.2,538330.99,2016-11-14,NM 528_1.8_4.2
2017,False,1,HOT INSITU SCARIFICATION,State,NM 90,33.8,40.8,532633.3,2016-12-02,NM 90_33.8_40.8
2017,True,5,GUARDRAIL,US,US 64,0.0,21.2,59996.02,2016-12-06,US 64_0.0_21.2
2017,True,5,HOT MIX OVERLAY/ INLAY,US,US 84,163.6,163.9,367587.44,2016-12-06,US 84_163.6_163.9
2017,True,5,HOT INSITU SCARIFICATION,US,US 285,392.3,398.0,964669.92,2016-12-06,US 285_392.3_398.0
2017,False,6,CRACK SEAL,State,NM 564,0.0,3.0,114734.35,2016-12-07,NM 564_0.0_3.0
2017,True,6,HOT INSITU SCARIFICATION,Interstate,I 40,115.0,116.0,165080.37,2016-12-07,I 40_115.0_116.0
2017,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,437.7,442.0,60970.23,2016-12-08,I 25_437.7_442.0
