segment_id,county
FL1131P_0.000_12.483,Guadalupe
FL1132P_0.000_0.446,Guadalupe
FL1133P_0.000_3.296,Chaves
FL1134P_0.000_12.008,Chaves
FL1135P_0.000_4.000,Chaves
FL1136P_0.000_2.083,Chaves
FL1137P_0.000_1.896,Chaves
FL1138P_0.000_0.835,Chaves
FL1139P_0.000_0.260,Chaves
FL1140P_0.000_0.207,Chaves
FL1141P_0.000_2.144,Cibola
FL1142P_0.000_2.565,Cibola
FL1143P_0.000_0.618,Cibola
FL1144P_0.000_11.283,Cibola
FL1145P_0.000_1.133,Cibola
FL1146P_0.000_16.952,Cibola
FL1146P_16.952_17.146,McKinley
FL1146P_17.146_17.414,Sandoval
FL1147P_0.000_24.546,Cibola
FL1148P_0.000_1.423,Cibola
FL1149P_0.000_11.823,Cibola
FL1150P_0.000_0.298,Cibola
FL1151P_0.000_5.271,Cibola
FL1152P_0.000_12.386,Cibola
FL1153P_0.000_2.257,Otero
FL1154P_0.000_2.884,Otero
FL1155P_0.000_8.163,Otero
FL1156P_0.000_0.137,Otero
FL1157P_0.000_3.694,Otero
FL1158P_0.000_2.989,Otero
FL1159P_0.000_1.013,Otero
FL1160P_0.000_1.055,Otero
FL1161P_0.000_1.712,Otero
FL1162P_0.000_0.384,Otero
FL1163P_0.000_0.712,Otero
FL1164P_0.000_1.370,Otero
FL1201P_0.000_0.928,Doña Ana
FL1202P_0.000_0.450,Doña Ana
FL1203P_0.000_0.885,Doña Ana
FL1204P_0.000_2.152,Doña Ana
FL1205P_0.000_1.490,Doña Ana
FL1206P_0.000_2.198,Doña Ana
FL1207M_0.000_3.686,Doña Ana
FL1207P_0.000_3.686,Doña Ana
FL1208M_2.424_2.844,Doña Ana
FL1208P_0.000_2.855,Doña Ana
FL1209M_0.720_1.510,Doña Ana
FL1209P_0.000_1.510,Doña Ana
FL1210P_0.000_1.178,Doña Ana
FL1211M_0.000_0.240,Doña Ana
FL1211P_0.000_0.856,Doña Ana
FL1212M_0.000_0.495,Doña Ana
FL1212P_0.000_0.725,Doña Ana
FL1213P_0.000_0.826,Doña Ana
FL1214P_0.000_0.770,Doña Ana
FL1215P_0.000_0.642,Doña Ana
FL1216M_0.000_1.083,Doña Ana
FL1216P_0.000_1.179,Doña Ana
FL1217P_0.000_0.798,Doña Ana
FL1218P_0.000_0.877,Doña Ana
FL1219P_0.000_0.956,Doña Ana
FL1220P_0.000_0.339,Doña Ana
FL1221P_0.000_2.153,Doña Ana
FL1222P_0.000_0.831,Doña Ana
FL1223P_0.000_1.724,Doña Ana
FL1224P_0.000_1.185,Doña Ana
FL1225P_0.000_1.148,Doña Ana
FL1226P_0.000_1.124,Doña Ana
FL1227P_0.000_0.279,Doña Ana
FL1228P_0.000_0.423,Doña Ana
FL1229P_0.000_0.365,Doña Ana
FL1230P_0.000_13.373,Doña Ana
FL1231P_0.000_0.563,Doña Ana
FL1232P_0.000_1.057,Doña Ana
FL1233P_0.000_0.301,Doña Ana
FL1234P_0.000_2.499,Doña Ana
FL1235P_0.000_6.170,Doña Ana
FL1236P_0.000_1.030,Doña Ana
FL1237P_0.000_0.846,Doña Ana
FL1238P_0.000_0.642,Doña Ana
FL1239P_0.000_0.139,Doña Ana
FL1240P_0.000_0.889,Doña Ana
FL1241P_0.000_0.812,Doña Ana
FL1242P_0.000_3.508,Doña Ana
FL1243P_0.000_5.528,Doña Ana
FL1244P_0.000_0.667,Doña Ana
FL1245P_0.000_1.525,Doña Ana
FL1246P_0.000_2.620,Doña Ana
FL1247P_0.000_1.221,Doña Ana
FL1248P_0.000_2.188,Doña Ana
FL1249P_0.000_2.270,Doña Ana
FL1250P_0.000_0.341,Doña Ana
FL1251P_0.000_0.717,Doña Ana
FL1252P_0.000_0.570,Doña Ana
FL1253P_0.000_1.240,Doña Ana
FL1254P_0.000_1.018,Doña Ana
FL1255P_0.000_1.240,Doña Ana
FL1256P_0.000_0.832,Doña Ana
FL1257P_0.000_0.827,Doña Ana
FL1258P_0.000_0.856,Doña Ana
FL1259P_0.000_1.253,Doña Ana
FL1260P_0.000_0.329,Doña Ana
FL1261P_0.000_5.092,Doña Ana
FL1262M_0.000_0.995,Doña Ana
FL1262P_0.000_0.995,Doña Ana
FL1263P_0.000_3.632,Doña Ana
FL1264P_0.000_1.167,Doña Ana
FL1265P_0.000_4.249,Doña Ana
FL1266P_0.000_0.498,Doña Ana
FL1267P_0.000_0.630,Doña Ana
FL1268P_0.000_1.025,Doña Ana
FL1269P_0.000_3.708,Doña Ana
FL1270P_0.000_0.558,Doña Ana
FL1271P_0.000_0.546,Doña Ana
FL1272P_0.000_1.131,Doña Ana
FL1273P_0.000_1.371,Doña Ana
FL1274P_0.000_0.505,Doña Ana
FL1275P_0.000_1.996,Doña Ana
FL1276P_0.000_2.613,Doña Ana
FL1277P_0.000_2.027,Doña Ana
FL1278P_0.000_0.993,Doña Ana
FL1279P_0.000_0.991,Doña Ana
FL1280P_0.000_0.255,Doña Ana
FL1281P_0.000_0.229,Doña Ana
FL1282P_0.000_0.314,Doña Ana
FL1283P_0.000_0.125,Doña Ana
FL1284P_0.000_0.126,Doña Ana
FL1285P_0.000_0.604,Doña Ana
FL1286P_0.000_0.998,Doña Ana
FL1287P_0.000_2.530,Doña Ana
FL1288P_0.000_1.270,Doña Ana
FL1289P_0.000_0.577,Doña Ana
FL1290P_0.000_0.153,Bernalillo
FL1291P_0.000_0.484,Doña Ana
FL1301P_0.000_6.159,Chaves
FL1302P_0.000_0.516,Chaves
FL1303P_0.000_5.860,Chaves
FL1304M_0.000_0.922,Chaves
FL1304P_0.000_0.926,Chaves
FL1305P_0.000_2.011,Chaves
FL1306P_0.000_0.288,Chaves
FL1307P_0.000_5.708,Chaves
FL1308P_0.000_2.805,Chaves
FL1309P_0.000_37.886,Doña Ana
FL1310P_0.000_4.307,Chaves
FL1311P_0.000_3.885,Chaves
FL1312P_0.000_0.921,Chaves
FL1313P_0.000_1.496,Chaves
FL1314P_0.000_12.886,Grant
FL1315P_0.000_0.709,Grant
FL1317P_0.000_0.419,Grant
FL1318P_0.000_4.034,Curry
FL1319P_0.000_3.006,Curry
FL1320P_0.000_1.978,Curry
FL1321P_0.000_3.246,Curry
FL1322P_0.000_0.319,Grant
FL1323P_0.000_0.174,Curry
FL1324P_0.000_0.143,Grant
FL1325P_0.000_0.232,Grant
FL1326P_0.000_0.159,Grant
FL1327P_0.000_1.885,Grant
FL1328P_0.000_0.441,Grant
FL1329P_0.000_0.253,Lincoln
FL1330P_0.000_9.924,Hidalgo
FL1331P_0.000_5.878,Hidalgo
FL1332P_0.000_10.299,Hidalgo
FL1333P_0.000_19.565,Hidalgo
FL1334P_0.000_2.088,Lincoln
FL1335P_0.000_0.930,Lincoln
FL1336P_0.000_6.725,Lincoln
FL1337P_0.000_0.181,Lincoln
FL1338P_0.000_0.600,Lincoln
FL1339P_0.000_0.127,Lincoln
FL1340P_0.000_1.277,Lincoln
FL1341P_0.000_0.339,Rio Arriba
FL1342P_0.000_2.178,Rio Arriba
FL1343P_0.000_8.374,Rio Arriba
FL1344P_0.000_0.728,Rio Arriba
FL1345P_0.000_8.044,Roosevelt
FL1346P_0.000_4.234,Roosevelt
FL1348P_0.000_2.177,Torrance
FL1349P_0.000_0.750,Socorro
FL1352P_0.000_0.591,Socorro
FL1353P_0.000_0.660,Socorro
FL1354P_0.000_1.042,Torrance
FL1355P_0.000_5.471,Torrance
FL1356P_0.000_11.764,Torrance
FL1357P_0.000_0.595,Socorro
FL1358P_0.000_1.534,Torrance
FL1359P_0.000_5.996,Torrance
FL1360P_0.000_0.776,Socorro
FL1362P_0.000_0.319,Doña Ana
FL1363P_0.000_0.370,Doña Ana
FL1364P_0.000_2.485,Doña Ana
FL1365P_0.000_0.456,Doña Ana
FL1366P_0.000_3.914,Doña Ana
FL1367M_5.405_5.669,Doña Ana
FL1367P_0.000_5.669,Doña Ana
FL1401P_0.000_1.737,Lea
FL1402P_0.000_4.403,Lea
FL1403P_0.000_4.422,Lea
FL1404P_0.000_8.550,Lea
FL1405P_0.000_0.888,Lea
FL1406M_1.265_1.396,Lea
FL1406P_0.000_1.396,Lea
FL1407P_0.000_0.836,Santa Fe
FL1408P_0.000_1.065,Santa Fe
FL1409P_0.000_1.705,Santa Fe
FL1410P_0.000_0.932,Santa Fe
FL1411P_0.000_0.738,Santa Fe
FL1412P_0.000_1.063,Santa Fe
FL1413P_0.000_0.500,Santa Fe
FL1414P_0.000_0.916,Santa Fe
FL1415P_0.000_1.120,Santa Fe
FL1416P_0.000_1.193,Santa Fe
FL1417P_0.000_6.719,Santa Fe
FL1418P_0.000_0.807,Santa Fe
FL1419P_0.000_0.346,Santa Fe
FL1420P_0.000_1.249,Santa Fe
FL1421P_0.000_0.686,Santa Fe
FL1422P_0.000_1.162,Santa Fe
FL1423P_0.000_2.945,Santa Fe
FL1424P_0.000_1.196,Santa Fe
FL1425P_0.000_5.603,Santa Fe
FL1426P_0.000_1.513,Santa Fe
FL1427P_0.000_0.412,Santa Fe
FL1427P_0.412_18.549,Sandoval
FL1428P_0.000_0.696,Santa Fe
FL1429M_0.000_0.447,Santa Fe
FL1429P_0.000_0.445,Santa Fe
FL1430P_0.000_1.339,Santa Fe
FL1431M_0.398_0.666,Santa Fe
FL1431P_0.000_0.666,Santa Fe
FL1432P_0.000_1.333,Santa Fe
FL1433P_0.000_0.631,Santa Fe
FL1434P_0.000_0.350,Santa Fe
FL1435P_0.000_0.443,Santa Fe
FL1436P_0.000_0.885,Santa Fe
FL1437P_0.000_0.643,Santa Fe
FL1438P_0.000_0.076,Santa Fe
FL1439P_0.000_0.132,Santa Fe
FL1440P_0.000_1.407,Santa Fe
FL1441P_0.000_0.839,Santa Fe
FL1442P_0.000_0.171,Santa Fe
FL1443P_0.000_1.536,Santa Fe
FL1444P_0.000_0.134,Santa Fe
FL1445P_0.000_0.370,Santa Fe
FL1446M_0.027_0.329,Santa Fe
FL1446M_0.595_0.774,Santa Fe
FL1446M_2.006_2.229,Santa Fe
FL1446P_0.000_2.332,Santa Fe
FL1447P_0.000_0.475,Santa Fe
FL1448M_5.797_5.990,Santa Fe
FL1448P_0.000_5.990,Santa Fe
FL1449P_0.000_0.110,Santa Fe
FL1450M_0.000_0.499,Santa Fe
FL1450P_0.000_0.520,Santa Fe
FL1451P_0.000_3.981,Santa Fe
FL1452P_0.000_0.672,Santa Fe
FL1453P_0.000_2.736,Santa Fe
FL1454P_0.000_2.309,Santa Fe
FL1455P_0.000_1.914,Santa Fe
FL1456M_1.099_1.284,Santa Fe
FL1456P_0.000_1.284,Santa Fe
FL1457P_0.000_1.788,Santa Fe
FL1458P_0.000_3.514,Santa Fe
FL1459P_0.000_4.721,Santa Fe
FL1460P_0.000_0.953,Santa Fe
FL1461P_0.000_1.189,Santa Fe
FL1462P_0.000_0.526,Santa Fe
FL1463P_0.000_9.311,Santa Fe
FL1464P_0.000_0.103,Santa Fe
FL1465P_0.000_3.551,Santa Fe
FL1465P_3.551_3.592,Rio Arriba
FL1467P_0.000_1.762,Santa Fe
FL1468M_0.000_0.593,Santa Fe
FL1468P_0.000_0.593,Santa Fe
FL1469M_1.000_1.632,Santa Fe
FL1469P_0.000_2.000,Santa Fe
FL1470P_0.000_1.455,Santa Fe
FL1471P_0.000_0.713,Santa Fe
FL1472P_0.000_1.044,Santa Fe
FL1473P_0.000_3.421,Santa Fe
FL1474P_0.000_1.373,Santa Fe
FL1475P_0.000_1.325,Santa Fe
FL1476P_0.000_4.717,Santa Fe
FL1477P_0.000_2.047,Santa Fe
FL1478P_0.000_1.154,Santa Fe
FL1479P_0.000_0.454,Santa Fe
