order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
2004-038,2004-07-09,2004,S,Richardson,Disaster for Severe Weather in Colfax County.,Severe Weather,Colfax
2004-016,2004-04-06,2004,S,Richardson,Disaster Due to Severe Weather Conditions.,Severe Weather,Statewide
2004-018,2004-04-09,2004,S,Richardson,Disaster in Bernalillo County Due to Severe Weather Conditions.,Severe Weather,Bernalillo
2004-031,2004-05-28,2004,S,Richardson,Disaster Due to Severe Weather Conditions (Supersedes EO-04-008).,Severe Weather,Statewide
2004-029,2004-05-24,2004,S,Richardson,Emergency for Lincoln County.,Wildfire - Peppin Fire,Lincoln
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Bernalillo
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Guadalupe
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Santa Fe
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,San Miguel
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Sandoval
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Torrance
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Quay
2004-008,2004-02-24,2004,S,Richardson,"Disaster for the severe winter storm event in Bernalillo, Guadalupe, Santa Fe, San Miguel, Sandoval, Mora, Torrance, and Quay counties and making Disaster Assistance Program funds available to eligible applicants.",Winter Storm,Mora
DR-1514,2004-04-29,2004,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,Bernalillo
DR-1514,2004-04-29,2004,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,Mora
DR-1514,2004-04-29,2004,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,San Miguel
DR-1514,2004-04-29,2004,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,Eddy
FM-2522,2004-06-18,2004,F,FEMA,New Mexico Bernardo Fire,Fire Management Assistance,Socorro
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,Guadalupe
