order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
DR-1659,2006-08-30,2006,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,Doña Ana
DR-1659,2006-08-30,2006,F,FEMA,New Mexico Severe Storms and Flooding,Major Disaster,Otero
2007-046,2007-09-11,2007,S,Richardson,Disaster in the Counties of Rio Arriba and Taos Due to the Effects of Flash Flooding.,Flash Flooding,Rio Arriba
2007-046,2007-09-11,2007,S,Richardson,Disaster in the Counties of Rio Arriba and Taos Due to the Effects of Flash Flooding.,Flash Flooding,Taos
2007-021,2007-04-24,2007,S,Richardson,Disaster for the Farmers Mutual Ditch in San Juan County Due to a Landslide.,Landslide,San Juan
2007-013,2007-03-24,2007,S,Richardson,"Disaster in the Counties of Curry, Quay, and Roosevelt Due to the Effects of a Severe Storm.",Severe Weather,Curry
2007-013,2007-03-24,2007,S,Richardson,"Disaster in the Counties of Curry, Quay, and Roosevelt Due to the Effects of a Severe Storm.",Severe Weather,Quay
2007-013,2007-03-24,2007,S,Richardson,"Disaster in the Counties of Curry, Quay, and Roosevelt Due to the Effects of a Severe Storm.",Severe Weather,Roosevelt
FM-2682,2007-02-24,2007,F,FEMA,New Mexico Belen Fire,Fire Management Assistance,Valencia
DR-1690,2007-04-02,2007,F,FEMA,New Mexico Severe Storms and Tornadoes,Major Disaster,Quay
DR-1690,2007-04-02,2007,F,FEMA,New Mexico Severe Storms and Tornadoes,Major Disaster,Curry
FM-2741,2007-11-21,2007,F,FEMA,New Mexico Ojo Peak Fire,Fire Management Assistance,Torrence
2008-048,2008-10-20,2008,S,Richardson,Disaster In Mora County Due To Flash Flooding,Flash Flooding,Mora
2008-049,2008-10-20,2008,S,Richardson,Disaster In Rio Arriba County Due To Flash Flooding,Flash Flooding,Rio Arriba
2008-050,2008-10-20,2008,S,Richardson,Disaster In Colfax County Due To Flash Flooding,Flash Flooding,Colfax
2008-051,2008-10-20,2008,S,Richardson,Disaster In Sierra County Due To Flash Flooding,Flash Flooding,Sierra
2008-042,2008-07-28,2008,S,Richardson,Disaster In Lincoln County Due To Flooding,Flooding,Lincoln
2008-042a,2008-08-04,2008,S,Richardson,Disaster In Lincoln And Otero Counties Due To Flooding,Flooding,Lincoln
2008-042a,2008-08-04,2008,S,Richardson,Disaster In Lincoln And Otero Counties Due To Flooding,Flooding,Otero
2008-033,2008-06-25,2008,S,Richardson,Disaster In Torrance County Due To The Big Springs Fire,Wildfire - Big Springs,Torrance
2008-036,2008-07-11,2008,S,Richardson,Emergency Due To The Effects Of California Wildfires And In Support Of Relief Efforts,Wildfire - California Wildfires,Statewide
2008-018,2008-05-02,2008,S,Richardson,Disaster in Torrance County Due to the Trigo Fire.,Wildfire - Trigo Fire,Torrance
2008-005a,2008-02-07,2008,S,Richardson,Disaster in Rio Arriba and Taos Counties Due to a Snowstorm.,Winter Storm,Rio Arriba
